Time,Pump Event,Pump Run Time,Pump Interval,Gallons Per Hour
2025-04-04-13:52:14,Auto Pump Start,,,
2025-04-04-13:53:00,Pump Stop,45.69,11.77,66.37
2025-04-04-14:04:09,Auto Pump Start,,,
2025-04-04-14:04:49,Pump Stop,39.62,11.81,65.53
2025-04-04-14:15:53,Auto Pump Start,,,
2025-04-04-14:16:40,Pump Stop,46.61,11.85,65.97
2025-04-04-14:27:27,Auto Pump Start,,,
2025-04-04-14:28:14,Pump Stop,46.3,11.56,67.71
2025-04-04-14:39:41,Auto Pump Start,,,
2025-04-04-14:40:27,Pump Stop,46.19,12.22,63.8
2025-04-04-14:50:52,Auto Pump Start,,,
2025-04-04-14:51:39,Pump Stop,46.54,11.19,70.16
2025-04-04-15:02:51,Auto Pump Start,,,
2025-04-04-15:03:39,Pump Stop,47.14,12.0,65.19
2025-04-04-15:14:14,Auto Pump Start,,,
2025-04-04-15:15:00,Pump Stop,45.83,11.35,69.03
2025-04-04-15:26:16,Auto Pump Start,,,
2025-04-04-15:27:02,Pump Stop,46.33,12.04,64.83
2025-04-04-15:38:15,Auto Pump Start,,,
2025-04-04-15:39:02,Pump Stop,47.21,12.0,65.2
2025-04-04-15:49:05,Auto Pump Start,,,
2025-04-04-15:49:52,Pump Stop,46.09,10.83,72.65
2025-04-04-16:00:59,Auto Pump Start,,,
2025-04-04-16:01:46,Pump Stop,46.96,11.9,65.72
2025-04-04-16:13:40,Auto Pump Start,,,
2025-04-04-16:14:27,Pump Stop,47.07,12.68,61.43
2025-04-04-16:25:25,Auto Pump Start,,,
2025-04-04-16:26:12,Pump Stop,46.67,11.75,66.58
2025-04-04-16:37:58,Auto Pump Start,,,
2025-04-04-16:38:44,Pump Stop,45.68,12.54,62.05
2025-04-04-16:50:43,Auto Pump Start,,,
2025-04-04-16:51:30,Pump Stop,46.41,12.76,60.98
2025-04-04-17:03:56,Auto Pump Start,,,
2025-04-04-17:04:44,Pump Stop,47.52,13.23,58.73
2025-04-04-17:16:26,Auto Pump Start,,,
2025-04-04-17:17:13,Pump Stop,46.51,12.48,62.43
2025-04-04-17:29:35,Auto Pump Start,,,
2025-04-04-17:30:21,Pump Stop,46.22,13.15,59.05
2025-04-04-17:43:38,Auto Pump Start,,,
2025-04-04-17:44:25,Pump Stop,46.73,14.06,55.03
2025-04-04-17:57:40,Auto Pump Start,,,
2025-04-04-17:58:26,Pump Stop,45.96,14.02,55.13
2025-04-04-18:12:55,Auto Pump Start,,,
2025-04-04-18:13:41,Pump Stop,45.83,15.24,50.48
2025-04-04-18:28:34,Auto Pump Start,,,
2025-04-04-18:29:21,Pump Stop,46.52,15.67,49.08
2025-04-04-18:45:42,Auto Pump Start,,,
2025-04-04-18:46:29,Pump Stop,46.2,17.13,44.66
2025-04-04-19:03:52,Auto Pump Start,,,
2025-04-04-19:04:38,Pump Stop,46.23,18.16,42.03
2025-04-04-19:22:28,Auto Pump Start,,,
2025-04-04-19:23:14,Pump Stop,46.03,18.59,41.0
2025-04-04-19:41:51,Auto Pump Start,,,
2025-04-04-19:42:37,Pump Stop,45.82,19.39,39.24
2025-04-04-20:04:02,Auto Pump Start,,,
2025-04-04-20:04:48,Pump Stop,45.39,22.18,34.12
2025-04-04-20:26:25,Auto Pump Start,,,
2025-04-04-20:27:11,Pump Stop,45.47,22.39,33.79
2025-04-04-20:49:47,Auto Pump Start,,,
2025-04-04-20:50:33,Pump Stop,45.33,23.36,32.33
2025-04-04-21:14:32,Auto Pump Start,,,
2025-04-04-21:15:17,Pump Stop,44.74,24.74,30.46
2025-04-04-21:40:55,Auto Pump Start,,,
2025-04-04-21:41:40,Pump Stop,44.88,26.38,28.51
2025-04-04-22:08:46,Auto Pump Start,,,
2025-04-04-22:09:31,Pump Stop,45.01,27.86,26.96
2025-04-04-22:38:54,Auto Pump Start,,,
2025-04-04-22:39:38,Pump Stop,44.82,30.12,24.88
2025-04-04-23:10:33,Auto Pump Start,,,
2025-04-04-23:11:18,Pump Stop,44.97,31.67,23.64
2025-04-04-23:44:11,Auto Pump Start,,,
2025-04-04-23:44:56,Pump Stop,44.75,33.62,22.23
